"월","요일","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"01","일","1595","31","553","1874","161"
"01","월","2292","42","761","2302","183"
"01","화","2595","48","819","2725","231"
"01","수","2762","49","937","2721","267"
"01","목","2785","55","955","2770","249"
"01","금","2380","37","726","2435","221"
"01","토","2143","34","736","2422","221"
"02","일","1738","13","619","2076","165"
"02","월","2031","33","656","2166","178"
"02","화","1948","19","605","2319","199"
"02","수","2015","44","675","2225","201"
"02","목","2324","33","732","2384","207"
"02","금","2497","31","766","2664","239"
"02","토","2199","30","719","2576","241"
"03","일","2322","27","719","2855","234"
"03","월","2281","28","703","2324","226"
"03","화","2258","36","762","2277","195"
"03","수","2506","33","808","2551","222"
"03","목","2487","42","833","2483","215"
"03","금","3236","51","1013","3393","311"
"03","토","3043","35","968","3507","309"
"04","일","1901","36","633","2255","222"
"04","월","3313","53","1113","3304","307"
"04","화","3352","55","1084","3466","342"
"04","수","2532","28","788","2559","231"
"04","목","2558","39","810","2656","231"
"04","금","2768","45","905","2871","302"
"04","토","2680","30","891","3194","274"
"05","일","2251","33","762","2717","278"
"05","월","2518","52","732","2805","269"
"05","화","2857","40","889","2866","271"
"05","수","3329","50","1062","3540","297"
"05","목","3378","48","1051","3456","323"
"05","금","3704","44","1150","3796","384"
"05","토","2742","38","927","3152","350"
"06","일","2439","38","841","2969","346"
"06","월","2616","34","801","2674","269"
"06","화","2649","42","851","2668","272"
"06","수","2672","45","849","2600","272"
"06","목","2540","34","760","2700","253"
"06","금","2757","46","876","2837","315"
"06","토","3295","40","1079","3691","392"
"07","일","1881","19","614","2255","246"
"07","월","3230","59","964","3311","325"
"07","화","3130","43","1012","3134","356"
"07","수","3252","47","983","3356","337"
"07","목","2468","18","754","2502","259"
"07","금","2728","33","805","2872","275"
"07","토","2545","22","753","2962","278"
"08","일","1987","22","624","2335","280"
"08","월","2650","38","812","2824","276"
"08","화","2641","23","772","2771","270"
"08","수","2743","35","803","2897","273"
"08","목","3158","41","966","3471","327"
"08","금","3594","50","1161","3855","441"
"08","토","3219","44","1044","3800","356"
"09","일","2531","35","836","2867","320"
"09","월","3500","56","1038","3571","327"
"09","화","2945","35","937","2878","311"
"09","수","2884","37","857","2981","322"
"09","목","2515","46","734","2654","268"
"09","금","2575","36","798","2888","317"
"09","토","2381","42","717","2872","253"
"10","일","2169","25","767","2573","262"
"10","월","2868","53","898","2872","310"
"10","화","3633","49","1116","3623","413"
"10","수","3703","53","1210","3822","352"
"10","목","3425","56","1108","3448","325"
"10","금","3158","63","999","3225","293"
"10","토","2734","38","855","3227","352"
"11","일","2267","41","735","2661","238"
"11","월","2882","49","815","2950","288"
"11","화","2808","36","901","2801","260"
"11","수","2859","31","857","2902","280"
"11","목","2975","39","906","3008","301"
"11","금","4145","58","1235","4306","422"
"11","토","3581","43","1118","4259","380"
"12","일","2577","41","809","3034","329"
"12","월","3159","43","976","3206","314"
"12","화","3317","53","929","3416","354"
"12","수","2358","41","667","2624","247"
"12","목","2628","52","800","2636","267"
"12","금","2880","34","868","2907","277"
"12","토","2629","49","834","3143","326"
